date	level	depth
2011-02-21	-214	39
2011-02-22	-213	40
2011-02-23	-213	40
2011-02-24	-213	40
2011-02-25	-213	40
2011-02-26	-213	40
2011-02-27	-213	40
2011-02-28	-213	40
2011-03-01	-213	40
2011-03-02	-213	40
2011-03-03	-213	40
2011-03-04	-213	40
2011-03-05	-213	40
2011-03-06	-213	40
2011-03-07	-213	40
2011-03-08	-213	40
2011-03-09	-213	40
2011-03-10	-213	40
2011-03-11	-213	40
2011-03-12	-213	40
2011-03-13	-213	40
2011-03-14	-213	40
2011-03-15	-213	40
2011-03-16	-213	40
2011-03-17	-213	40
2011-03-18	-213	40
2011-03-19	-213	40
2011-03-20	-213	40
2011-03-21	-213	40
2011-03-22	-213	40
2011-03-23	-213	40
2011-03-24	-213	40
2011-03-25	-213	40
2011-03-26	-213	40
2011-03-27	-213	40
2011-03-28	-213	40
2011-03-29	-213	40
2011-03-30	-213	40
2011-03-31	-213	40
2011-04-01	-213	40
2011-04-02	-213	40
2011-04-03	-213	40
2011-04-04	-213	40
2011-04-05	-213	40
2011-04-06	-213	40
2011-04-07	-213	40
2011-04-08	-213	40
2011-04-09	-213	40
2011-04-10	-213	40
2011-04-11	-213	40
2011-04-12	-213	40
2011-04-13	-213	40
2011-04-14	-213	41
2011-04-15	-212	41
2011-04-16	-212	41
2011-04-17	-212	41
2011-04-18	-212	41
2011-04-19	-212	41
2011-04-20	-212	41
2011-04-21	-212	41
2011-04-22	-212	41
2011-04-23	-212	41
2011-04-24	-212	41
2011-04-25	-212	41
2011-04-26	-212	41
2011-04-27	-212	41
2011-04-28	-212	41
2011-04-29	-212	41
2011-04-30	-212	41
2011-05-01	-212	41
2011-05-02	-212	41
2011-05-03	-212	41
2011-05-04	-212	41
2011-05-05	-212	41
2011-05-06	-212	41
2011-05-07	-212	41
2011-05-08	-212	41
2011-05-09	-212	41
2011-05-10	-212	41
2011-05-11	-212	41
2011-05-12	-212	41
2011-05-13	-212	41
2011-05-14	-212	41
2011-05-15	-212	41
2011-05-16	-212	41
2011-05-17	-212	41
2011-05-18	-212	41
2011-05-19	-212	41
2011-05-20	-212	41
2011-05-21	-212	41
